|arrests|tags
3728|BATTERY PHYSICAL CONTACT/RUDE DOMESTIC|Battery
3729|WILLFUL CRIMINAL DAMAGE TO PROPERTY DOMESTIC VIOLENCE|Property Damage
3730|BATTERY BODILY HARM DOMESTIC|Battery
3731|BATTERY BODILY HARM|Battery
3732|ROBBERY FROM PERSON|Robbery
3733|AUTO THEFT NOT RECOVERED|Theft
3734|BATTERY BODILY HARM DOMESTIC|Battery
3735|UNLAWFUL POSSESSION OF METH|Meth
3736|DRIVING WHILE LICENSE CANCELLED/SUSPENDED/REVOKED|License
3737|TAIL LAMPS|Traffic Violation
3738|NO PROOF OF INSURANCE|Insurance
3739|AGGRAVATED ASSAULT/DOMESTIC VIOLENCE|Assault
3740|BATTERY DOMESTIC VIOLENCE|Battery
3741|DESTRUCTION OF PROPERTY DOMESTIC VIOLENCE|Property Damage
3742|EMBEZZLEMENT AUTO|Theft
3743|POSSESSION OF MARIJUANA|Marijuana
3744|UNLAWFUL POSSESSION OF METH|Meth
3745|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
3746|DRIVING WHILE LICENSE CANCELLED/SUSPENDED/REVOKED|License
3747|CRIMINAL TRESPASS|Trespass
3748|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
3749|DRIVE UNDER THE INFLUENCE|DUI
3750|POSSESSION OF MARIJUANA|Marijuana
3751|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
3752|DUI INCAPABLE OF SAFELY OPERATING|DUI
3753|UNLAWFUL POSSESSION OF METH|Meth
3754|POSSESSION OF PARAPHERNALIA|Misc Drugs
3755|DRIVING WHILE LICENSE CANCELLED/SUSPENDED/REVOKED|License
3756|DISPLAY OF LICENSE PLATE|Traffic Violation
3757|CRIMINAL TRESPASS|Trespass
3758|DRIVING WHILE LICENSE CANCELLED/SUSPENDED/REVOKED|License
3759|CHILD RESTRAINT|Traffic Violation
3760|RUN STOP SIGN|Traffic Violation
3761|CHILD RESTRAINT|Traffic Violation
3762|DOMESTIC BATTERY BODILY HARM|Battery
3763|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License
3764|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License
3765|VIOLATION OF PROTECTIVE ORDER|Court Order
3766|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License
3767|RV, BOAT AND TRAILER NOT REQUIRED IN FRONT YARD|Littering
3768|CONTRARY TO PERMITTED USE IN SINGLE FAMILY RESIDENTIAL ZONING|Littering
3769|STORE SALVAGE MATERIAL, JUNK, OR OTHER MATERIAL ON RESIDENTIAL PREMISES|Littering
3770|KEEP PREMISES FREE OF LITTER, REFUSE, DEBRIS, ETC|Littering
3771|INOPERABLE VEHICLES|Traffic Violation
3772|ALLOW WEEDS/VEGETATION TO GROW OVER 12 INCHES HIGH|Littering
3773|DISORDERLY CONDUCT BRAWLING/FIGHTING DOMESTIC VIOLENCE|Disturbance
3774|DISORDERLY CONDUCT BRAWLING/FIGHTING DOMESTIC VIOLENCE|Disturbance
3775|DISORDERLY CONDUCT BRAWLING/FIGHTING DOMESTIC VIOLENCE|Disturbance
3776|VIOLATION OF PROTECTION FROM ABUSE|Court Order
3777|TRESPASS PRIVATE PROPERTY DEFY RESTRAINING ORDER|Court Order
3778|DISORDERLY CONDUCT BRAWLING/FIGHTING DOMESTIC VIOLENCE|Disturbance
3779|DUI|DUI
3780|DUI INCAPABLE OF SAFELY OPERATING|DUI
3781|NO DRIVER'S LICENSE|License
3782|ILLEGAL TAG|Traffic Violation
3783|DEFECTIVE BRAKES|Traffic Violation
3784|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
3785|LARCENY B ALL OTHER|Larceny
3786|RESIST/OBSTRUCT ARREST|Obstruction
3787|LARCENY B SHOPLIFT|Larceny
3788|PETIT THEFT|Theft
3789|PETIT THEFT|Theft
3790|RUN STOP SIGN|Traffic Violation
3791|DRIVING WHILE LICENSE CANCELLED/SUSPENDED/REVOKED|License
3792|ILLEGAL TAG|Traffic Violation
3793|DISPLAY ALTERED TAG|Traffic Violation
3794|NO DRIVER'S LICENSE|License
3795|NO PROOF OF INSURANCE|Insurance
3796|AGGRAVATED WEAPONS VIOLATION|Weapons
3797|POSSESSION OF MARIJUANA|Marijuana
3798|WINDSHIELD OBSCURED|Traffic Violation
3799|RESIST/OBSTRUCT ARREST|Obstruction
3800|DRIVE WHILE SUSPENDED|Traffic Violation
3801|KNOWINGLY DRIVE UNINSURED VEHICLE|Insurance
3802|OBSTRUCT LEGAL PROCESS|Obstruction
3803|TRANSPORT OPEN ALCOHOLIC BEVERAGES|Alcohol
3804|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License
3805|WINDSHIELD CRACKED|Traffic Violation
3806|DISORDERLY CONDUCT OFFENSIVE LANGUAGE|Disturbance
3807|PETIT THEFT|Theft
3808|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana
3809|OBSTRUCT LEGAL PROCESS|Obstruction
3810|DOMESTIC BATTERY BODILY HARM|Battery
3811|POSSESSION OF FIREARM BY A FELON|Firearms
3812|FALSE IMPERSONATION|Identity Theft
3813|FOLLOW TOO CLOSE|Traffic Violation
3814|DISORDERLY CONDUCT THROW MISSLES DOMESTIC VIOLENCE|Disturbance
3815|DRIVE UNDER THE INFLUENCE|DUI
3816|CRIMINAL TRESPASS|Trespass
3817|OTHER DESTRUCTION TO PROPERTY|Property Damage
3818|AGGRAVATED ASSAULT|Assault
3819|FLEE OR ATTEMPT TO ELUDE POLICE OFF|Elusion
3820|LARCENY B ALL OTHER|Larceny
3821|LICENSE TO BE CARRIED AND EXHIBITED ON DEMAND|License
3822|SALE OF SEXUAL RELATIONS|Procurement
3823|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
3824|INTERFERE WITH LAW ENFORCEMENT OBSTRUCT, RESIST, ETC|Interference
3825|AGGRAVATED BATTERY, DOMESTIC VIOLENCE|Battery
3826|AGGRAVATED BATTERY|Battery
3827|CRIMINAL TRESPASS|Trespass
3828|CARRYING CONCEALED FIREARM|Firearms
3829|POSSESSION OF MARIJUANA|Marijuana
3830|LICENSE TO BE CARRIED AND EXHIBITED ON DEMAND|License
3831|WINDSHIELD OBSCURED|Traffic Violation
3832|BATTERY BODILY HARM|Battery
3833|BATTERY DOMESTIC VIOLENCE|Battery
3834|AGGRAVATED ASSAULT/DOMESTIC VIOLENCE|Assault
3835|SALE OF SEXUAL RELATIONS|Procurement
3836|UNLAWFUL POSSESSION OF METH|Meth
3837|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
3838|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana
3839|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana
3840|OBSTRUCT LEGAL PROCESS|Obstruction
3841|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana
3842|DEFECTIVE HEADLIGHT|Traffic Violation
3843|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License
3844|TRANSPORT OPEN ALCOHOLIC BEVERAGES|Alcohol
3845|BATTERY PHYSICAL CONTACT/RUDE DOMESTIC|Battery
3846|PETIT THEFT CONTAINING STOLEN PROPERTY|Theft
3847|FORCIBLE RAPE|Rape
3848|DUI|DUI
3849|DUI INCAPABLE OF SAFELY OPERATING|DUI
3850|LIGHTS REQUIRED SUNSET TO SUNRISE|Traffic Violation
3851|DUI INCAPABLE OF SAFELY OPERATING|DUI
3852|SEAT BELT REQUIRED 18 OR OLDER|Traffic Violation
3853|INATTENTIVE DRIVING|Traffic Violation
3854|BATTERY DOMESTIC VIOLENCE|Battery
3855|DESTRUCTION OF PROPERTY DOMESTIC VIOLENCE|Property Damage
3856|CURFEW LAW VIOLATIONS|Curfew
3857|RESIST/OBSTRUCT ARREST|Obstruction
3858|CURFEW LAW VIOLATIONS|Curfew
3859|OBSTRUCT LEGAL PROCESS|Obstruction
3860|WILLFUL CRIMINAL DAMAGE TO PROPERTY DOMESTIC VIOLENCE|Property Damage
3861|DOMESTIC BATTERY BODILY HARM|Battery
3862|INTERFERE WITH LAW ENFORCEMENT OBSTRUCT, RESIST, ETC|Interference
3863|VIOLATION OF PROTECTIVE ORDER|Court Order
3864|UNLAWFUL POSSESSION OF METH|Meth
3865|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
3866|OPERATOR STOPPING, PARKING, DEVIATING FROM TRAFFIC TO RESPOND TO PERSON|Traffic Violation
3867|DESTRUCTION OF PROPERTY DOMESTIC VIOLENCE|Property Damage
3868|RUN STOP SIGN|Traffic Violation
3869|SPEED 30 MPH|Speed Limit
3870|RECKLESS DRIVING|Traffic Violation
3871|FLEE OR ATTEMPT TO ELUDE POLICE OFF|Elusion
3872|UNLAWFUL ACTS/ILLEGAL TAGS|Traffic Violation
3873|DRIVING WHILE LICENSE CANCELLED/SUSPENDED/REVOKED|License
3874|LARCENY B SHOPLIFT|Larceny
3875|DRIVING WHILE LICENSE CANCELLED/SUSPENDED/REVOKED|License
3876|POSSESSION OF MARIJUANA|Marijuana
3877|ILLEGAL TAG|Traffic Violation
3878|IDENTITY THEFT|Identity Theft
3879|UNLAWFUL POSSESSION OF METH|Meth
3880|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
3881|AGGRAVATED BATTERY, DOMESTIC VIOLENCE|Battery
3882|BATTERY DOMESTIC VIOLENCE|Battery
3883|STOLEN PROPERTY BUYING|Theft
3884|UNLAWFUL POSSESSION OF METH|Meth
3885|NO SEAT BELT|Traffic Violation
3886|RESIST/OBSTRUCT ARREST|Obstruction
3887|BATTERY DOMESTIC VIOLENCE|Battery
3888|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana
3889|SALE OF SEXUAL RELATIONS|Procurement
3890|BATTERY BODILY HARM DOMESTIC|Battery
3891|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
3892|RESIST/OBSTRUCT ARREST|Obstruction
3893|SALE OF SEXUAL RELATIONS|Procurement
3894|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana
3895|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana
3896|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana
3897|INTERFERE WITH LAW ENFORCEMENT OBSTRUCT, RESIST, ETC|Interference
3898|UNLAWFUL POSSESSION OF METH|Meth
3899|VIOLATION OF PROTECTIVE ORDER DOMESTIC VIOLENCE|Court Order
3900|POSSESSION OF MARIJUANA|Marijuana
3901|POSSESSION OF MARIJUANA|Marijuana
3902|BATTERY OF LAW ENFORCEMENT OFFICER|Battery
3903|UNLAWFUL POSSESSION OF METH|Meth
3904|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
3905|DISORDERLY CONDUCT OFFENSIVE LANGUAGE|Disturbance
3906|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana
3907|CARRY CONCEALED WEAPON|Weapons
3908|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
3909|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License
3910|NO PROOF OF INSURANCE|Insurance
3911|DISPLAY ALTERED TAG|Traffic Violation
3912|POSSESSION OF NARCOTICS|Narcotics
3913|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
3914|DRIVING WHILE LICENSE CANCELLED/SUSPENDED/REVOKED|License
3915|HEAD LAMPS REQUIRED|Traffic Violation
3916|TRANSPORT OPEN ALCOHOLIC BEVERAGES|Alcohol
3917|SEAT BELT REQUIRED 18 OR OLDER|Traffic Violation
3918|TRANSPORT OPEN ALCOHOLIC BEVERAGES|Alcohol
3919|SEAT BELT REQUIRED 18 OR OLDER|Traffic Violation
3920|TRANSPORT OPEN ALCOHOLIC BEVERAGES|Alcohol
3921|POSSESSION OF NARCOTICS|Narcotics
3922|POSSESSION OF MARIJUANA|Marijuana
3923|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
3924|RESIST/OBSTRUCT ARREST|Obstruction
3925|LAMPS, BRAKES, AND OTHER EQUIPMENT|Traffic Violation
3926|TRAFFIC LAWS APPLY TO BIKE RIDERS|Traffic Violation
3927|VIOLATION OF PROTECTION FROM ABUSE|Court Order
3928|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana
3929|AGGRAVATED ASSAULT/DOMESTIC VIOLENCE|Assault
3930|CRIMINAL DISCHARGE OF FIREARM|Firearms
3931|AGGRAVATED CHILD ENDANGERMENT|Child Abuse
3932|POSSESSION OF FIREARM BY A FELON|Firearms
3933|INTERFERE WITH LAW ENFORCEMENT OBSTRUCT, RESIST, ETC|Interference
3934|TRESPASS SWIM PUBLIC FOUNTAIN|Trespass
3935|AGGRAVATED BATTERY, DOMESTIC VIOLENCE|Battery
3936|BATTERY DOMESTIC VIOLENCE|Battery
3937|UNLAWFUL RESTRAINT|Interference
3938|EMBEZZLEMENT AUTO|Theft
3939|BATTERY PHYSICAL CONTACT/RUDE DOMESTIC|Battery
3940|PETIT THEFT CONTAINING STOLEN PROPERTY|Theft
3941|BATTERY DOMESTIC VIOLENCE|Battery
3942|RESIST/OBSTRUCT ARREST|Obstruction
3943|AGGRAVATED WEAPONS VIOLATION|Weapons
3944|BATTERY BODILY HARM|Battery
3945|WILLFUL CRIMINAL DAMAGE TO PROPERTY DOMESTIC VIOLENCE|Property Damage
3946|BATTERY|Battery
3947|WILLFUL CRIMINAL DAMAGE TO PROPERTY|Property Damage
3948|AGGRAVATED BATTERY, DOMESTIC VIOLENCE|Battery
3949|SEAT BELT REQUIRED 18 OR OLDER|Traffic Violation
3950|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License
3951|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
3952|BATTERY PHYSICAL CONTACT/RUDE MANNER|Battery
3953|UNLAWFUL POSSESSION OF METH|Meth
3954|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
3955|RESIST/OBSTRUCT ARREST|Obstruction
3956|LAMPS, BRAKES, AND OTHER EQUIPMENT|Traffic Violation
3957|UNLAWFUL POSSESSION OF METH|Meth
3958|TRAFFIC OF CONTRABAND IN A CORRECTIONAL INSTITUTION|Traffic Violation
3959|AGGRAVATED BATTERY, DOMESTIC VIOLENCE|Battery
3960|CRIMINAL TRESPASS|Trespass
3961|AGGRAVATED WEAPONS VIOLATION|Weapons
3962|RESIST/OBSTRUCT ARREST|Obstruction
3963|PETIT THEFT|Theft
3964|HIT AND RUN FIXED OBJECT|Hit and Run
3965|DOMESTIC BATTERY BODILY HARM|Battery
3966|DOMESTIC BATTERY PHYSICAL CONTACT|Battery
3967|BATTERY BODILY HARM DOMESTIC|Battery
3968|FLEE OR ATTEMPT TO ELUDE POLICE OFF|Elusion
3969|UNLAWFUL POSSESSION OF METH|Meth
3970|DUI|DUI
3971|DUI INCAPABLE OF SAFELY OPERATING|DUI
3972|DUI SECOND|DUI
3973|OPERATE VEHICLE WITHOUT REQUIRED INTERLOCK DEVICE|Traffic Violation
3974|NO DRIVER'S LICENSE|License
3975|ASSAULT|Assault
3976|WILLFUL CRIMINAL DAMAGE TO PROPERTY DOMESTIC VIOLENCE|Property Damage
3977|UNLAWFUL POSSESSION OF MARIJUANA DEPRESSANT|Marijuana
3978|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License
3979|FAILURE TO SIGNAL TURN|Traffic Violation
3980|DOMESTIC BATTERY PHYSICAL CONTACT|Battery
3981|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
3982|RUN STOP SIGN|Traffic Violation
3983|DISOBEYING POLICE|Interference
3984|DUI|DUI
3985|DUI INCAPABLE OF SAFELY OPERATING|DUI
3986|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License
3987|ILLEGAL TAG|Traffic Violation
3988|DUI|DUI
3989|TRANSPORT OPEN ALCOHOLIC BEVERAGES|Alcohol
3990|DUI INCAPABLE OF SAFELY OPERATING|DUI
3991|DUI|DUI
3992|DUI INCAPABLE OF SAFELY OPERATING|DUI
3993|WILLFUL CRIMINAL DAMAGE TO PROPERTY DOMESTIC VIOLENCE|Property Damage
3994|AGGRAVATED BATTERY|Battery
3995|POSSESSION OF MARIJUANA|Marijuana
3996|FLEE OR ATTEMPT TO ELUDE POLICE OFF|Elusion
3997|AGGRAVATED BATTERY, DOMESTIC VIOLENCE|Battery
3998|DOMESTIC BATTERY BODILY HARM|Battery
3999|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana
4000|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
4001|RUNAWAY|Runaway
4002|DOMESTIC BATTERY BODILY HARM|Battery
4003|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana
4004|INTERFERE WITH LAW ENFORCEMENT OBSTRUCT, RESIST, ETC|Interference
4005|MINORS POSSESSING, CONSUMING, PURCHASING, OBTAINING ALCOHOL/LIQUOR BEVERAGES|Alcohol
4006|CRIMINAL DEPRIVATION OF PROPERTY|Theft
4007|DISORDERLY CONDUCT BRAWLING/FIGHTING DOMESTIC VIOLENCE|Disturbance
4008|AUTO THEFT NOT RECOVERED|Theft
4009|HIT AND RUN FIXED OBJECT|Hit and Run
4010|DRIVING WHILE REVOKED/SUSPENDED AFTER DUI CONVICTION|License
4011|DUI DRUG|DUI
4012|DISORDERLY CONDUCT BRAWLING/FIGHTING DOMESTIC VIOLENCE|Disturbance
4013|DOMESTIC BATTERY BODILY HARM|Battery
4014|WILLFUL CRIMINAL DAMAGE TO PROPERTY DOMESTIC VIOLENCE|Property Damage
4015|AGGRAVATED ASSAULT/DOMESTIC VIOLENCE|Assault
4016|AGGRAVATED ASSAULT|Assault
4017|OTHER DESTRUCTION TO PROPERTY|Property Damage
4018|DRIVE UNDER THE INFLUENCE|DUI
4019|OTHER DESTRUCTION TO PROPERTY|Property Damage
4020|BATTERY|Battery
4021|BATTERY DOMESTIC VIOLENCE|Battery
4022|DESTRUCTION OF PROPERTY DOMESTIC VIOLENCE|Property Damage
4023|RESIST/OBSTRUCT ARREST|Obstruction
4024|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
4025|CRIMINAL TRESPASS|Trespass
4026|UNLAWFUL POSSESSION OF METH|Meth
4027|RESIST/OBSTRUCT ARREST|Obstruction
4028|BATTERY OF LAW ENFORCEMENT OFFICER|Battery
4029|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
4030|WILLFUL CRIMINAL DAMAGE TO PROPERTY DOMESTIC VIOLENCE|Property Damage
4031|LARCENY B SHOPLIFT|Larceny
4032|UNLAWFUL POSSESSION OF METH|Meth
4033|DRIVE UNDER THE INFLUENCE|DUI
4034|RESIST/OBSTRUCT ARREST|Obstruction
4035|CRIMINAL TRESPASS|Trespass
4036|BATTERY BODILY HARM DOMESTIC|Battery
4037|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana
4038|POSSESSION OF MARIJUANA|Marijuana
4039|UNLAWFUL POSSESSION OF METH|Meth
4040|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
4041|DUI|DUI
4042|DUI INCAPABLE OF SAFELY OPERATING|DUI
4043|DIM LIGHTS TO ONCOMING VEHICLE|Traffic Violation
4044|NO DRIVER'S LICENSE|License
4045|BATTERY DOMESTIC VIOLENCE|Battery
4046|AGGRAVATED BATTERY, DOMESTIC VIOLENCE|Battery
4047|DUI|DUI
4048|DISORDERLY CONDUCT BRAWLING/FIGHTING DOMESTIC VIOLENCE|Disturbance
4049|BURGLARY NON RESIDENCE|Burglary
4050|LARCENY B FROM AUTO|Larceny
4051|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License
4052|PETIT THEFT|Theft
4053|AUTO THEFT NOT RECOVERED|Theft
4054|DRIVING WHILE LICENSE CANCELLED/SUSPENDED/REVOKED|License
4055|HIT AND RUN UNATTENDED VEHICLE|Hit and Run
4056|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
4057|UNLAWFUL POSSESSION OF METH|Meth
4058|STOLEN PROPERTY BUYING|Theft
4059|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License
4060|NO DRIVER'S LICENSE|License
4061|SEAT BELT REQUIRED|Traffic Violation
4062|BATTERY BODILY HARM DOMESTIC|Battery
4063|WILLFUL CRIMINAL DAMAGE TO PROPERTY DOMESTIC VIOLENCE|Property Damage
4064|BATTERY PHYSICAL CONTACT/RUDE DOMESTIC|Battery
4065|WILLFUL CRIMINAL DAMAGE TO PROPERTY DOMESTIC VIOLENCE|Property Damage
4066|BATTERY BODILY HARM DOMESTIC|Battery
4067|WILLFUL CRIMINAL DAMAGE TO PROPERTY DOMESTIC VIOLENCE|Property Damage
4068|FLEE OR ATTEMPT TO ELUDE POLICE OFF|Elusion
4069|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
4070|FAILURE TO SIGNAL TURN|Traffic Violation
4071|SPEED 30 MPH|Speed Limit
4072|TRAFFIC CONTROL SIGNALS|Traffic Violation
4073|AUTO THEFT NOT RECOVERED|Theft
4074|DUI INCAPABLE OF SAFELY OPERATING|DUI
4075|DUI|DUI
4076|PETIT THEFT|Theft
4077|BATTERY BODILY HARM DOMESTIC|Battery
4078|UNLAWFUL RESTRAINT DOMESTIC VIOLENCE|Domestic Violence
4079|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License
4080|AGGRAVATED ASSAULT LAW ENFORCEMENT OFFICER|Assault
4081|EVADE/ELUDE POLICE|Elusion
4082|LIGHTS REQUIRED SUNSET TO SUNRISE|Traffic Violation
4083|FAILURE TO DRIVE WITHIN MARKED LANE|Traffic Violation
4084|NO DRIVER'S LICENSE|License
4085|SEAT BELT REQUIRED|Traffic Violation
4086|RECKLESS DRIVING|Traffic Violation
4087|AUTO THEFT NOT RECOVERED|Theft
4088|RUNAWAY|Runaway
4089|FAILURE TO SIGNAL TURN|Traffic Violation
4090|BATTERY PHYSICAL CONTACT/RUDE DOMESTIC|Battery
4091|BATTERY PHYSICAL CONTACT/RUDE MANNER|Battery
4092|UNLAWFUL POSSESSION OF MARIJUANA DEPRESSANT|Marijuana
4093|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
4094|DRIVE UNDER THE INFLUENCE|DUI
4095|HIT AND RUN INJURY ACCIDENT|Hit and Run
4096|UNLAWFUL POSSESSION OF METH|Meth
4097|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
4098|UNLAWFUL POSSESSION OF METH|Meth
4099|DUI INCAPABLE OF SAFELY OPERATING|DUI
4100|DUI|DUI
4101|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana
4102|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
4103|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License
4104|UNSAFE LANE CHANGE|Traffic Violation
4105|BURGLARY RESIDENCE|Burglary
4106|RUNAWAY|Runaway
4107|DOMESTIC BATTERY BODILY HARM|Battery
4108|PETIT THEFT|Theft
4109|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License
4110|NO PROOF OF INSURANCE|Insurance
4111|PETIT THEFT|Theft
4112|PETIT THEFT|Theft
4113|AGGRAVATED BATTERY, DOMESTIC VIOLENCE|Battery
4114|DESTRUCTION OF PROPERTY DOMESTIC VIOLENCE|Property Damage
4115|DOMESTIC BATTERY PHYSICAL CONTACT|Battery
4116|INTERFERE WITH LAW ENFORCEMENT OBSTRUCT, RESIST, ETC|Interference
4117|LARCENY B SHOPLIFT|Larceny
4118|CRIMINAL POSSESSION OF FIREARM BY JUVENILE|Firearms
4119|LICENSE TO BE CARRIED AND EXHIBITED ON DEMAND|License
4120|FAILURE TO SIGNAL TURN|Traffic Violation
4121|POSSESSION OF NARCOTICS|Narcotics
4122|TRANSPORT OPEN CONTAINER LIQUOR|Alcohol
4123|DRIVING WHILE LICENSE CANCELLED/SUSPENDED/REVOKED|License
4124|FAILURE TO SIGNAL TURN|Traffic Violation
4125|PETIT THEFT|Theft
4126|TAMPER WITH AUTO WITHOUT OWNER PERMISSION|Theft
4127|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
4128|SEAT BELT REQUIRED|Traffic Violation
4129|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License
4130|EVADE/ELUDE POLICE|Elusion
4131|RUN STOP SIGN|Traffic Violation
4132|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana
4133|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
4134|VIOLATION OF PROTECTIVE ORDER|Court Order
4135|AGGRAVATED CHILD ENDANGERMENT|Child Abuse
4136|ASSAULT|Assault
4137|CRIMINAL TRESPASS|Trespass
4138|RESIST POLICE/ARREST|Obstruction
4139|POSSESSION OF NARCOTICS|Narcotics
4140|INTERFERE WITH LAW ENFORCEMENT OBSTRUCT, RESIST, ETC|Interference
4141|RUNAWAY|Runaway
4142|UNLAWFUL POSSESSION OF METH|Meth
4143|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
4144|UNLAWFUL POSSESSION OF METH|Meth
4145|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
4146|AGGRAVATED BATTERY, DOMESTIC VIOLENCE|Battery
4147|DUI INCAPABLE OF SAFELY OPERATING|DUI
4148|BATTERY OF LAW ENFORCEMENT OFFICER|Battery
4149|RESIST POLICE/ARREST|Obstruction
4150|CARELESS DRIVING ENGINEER|Traffic Violation
4151|BURGLARY AGGRAVATED RESIDENCE|Burglary
4152|SEXUAL BATTERY|Sexual Battery
4153|POSSESSION OF PARAPHERNALIA|Misc Drugs
4154|POSSESSION OF NARCOTICS|Narcotics
4155|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
4156|UNLAWFUL SALE OR DISTRIBUTION OF NARCOTICS|Narcotics
4157|POSSESSION OF MARIJUANA|Marijuana
4158|UNLAWFUL POSSESSION OF METH|Meth
4159|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana
4160|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
4161|POSSESSION OF NARCOTICS|Narcotics
4162|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
4163|AGGRAVATED BATTERY, DOMESTIC VIOLENCE|Battery
4164|AGGRAVATED BATTERY|Battery
4165|BATTERY|Battery
4166|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License
4167|SIMPLE ASSAULT LAW ENFORCEMENT OFFICER|Assault
4168|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License
4169|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License
4170|NO DRIVER'S LICENSE|License
4171|POSSESSION OF FIREARM BY A FELON|Firearms
4172|POSSESSION OF NARCOTICS|Narcotics
4173|UNLAWFUL POSSESSION OF NON NARCOTICS|Narcotics
4174|TRESPASS PRIVATE PROPERTY|Trespass
4175|CONSUME ALCOHOL/LIQUOR IN PUBLIC|Alcohol
4176|PETIT THEFT|Theft
4177|CRIMINAL TRESPASS|Trespass
