|arrests|tags|stems
8088|INTIMIDATION|Intimidation|intimid
8089|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
8090|LARCENY B FROM AUTO|Larceny|larceni b auto
8091|BURGLARY NON RESIDENCE VEHICLE|Burglary|burglari non resid vehicl
8092|LARCENY B FROM AUTO|Larceny|larceni b auto
8093|BURGLARY NON RESIDENCE VEHICLE|Burglary|burglari non resid vehicl
8094|STOLEN PROPERTY BUYING|Theft|stolen properti buy
8095|CRIMINAL POSSESSION OF FIREARM BY JUVENILE|Firearms|crimin possess firearm juvenil
8096|CIGARETTE/TOBACCO PRODUCTS VIOLATION|Narcotics / Other Drugs|cigarett tobacco product violat
8097|FIGHTING/DOMESTIC VIOLENCE|Domestic Violence|fight domest violenc
8098|DESTRUCTION OF PROPERTY|Property Damage|destruct properti
8099|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
8100|BATTERY|Battery|batteri
8101|BATTERY|Battery|batteri
8102|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
8103|CRIMINAL TRESPASS|Trespass|crimin trespass
8104|ILLEGAL TAG|Vehicle / Traffic Violation|illeg tag
8105|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
8106|NO PROOF OF INSURANCE|Insurance|proof insur
8107|CRIMINAL DISCHARGE OF FIREARM|Firearms|crimin discharg firearm
8108|OTHER DESTRUCTION TO PROPERTY|Property Damage|destruct properti
8109|INTIMIDATION|Intimidation|intimid
8110|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
8111|CARELESS DRIVING ENGINEER|Vehicle / Traffic Violation|careless drive engin
8112|MINORS POSSESSING, CONSUMING, PURCHASING, OBTAINING ALCOHOL/LIQUOR BEVERAGES|Alcohol|minor possess consum purchas obtain alcohol liquor beverag
8113|AGGRAVATED BATTERY|Battery|aggrav batteri
8114|OTHER DESTRUCTION TO PROPERTY|Property Damage|destruct properti
8115|AGGRAVATED ASSAULT|Assault|aggrav assault
8116|DESTRUCTION OF PROPERTY|Property Damage|destruct properti
8117|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
8118|DISORDERLY CONDUCT BRAWLING/FIGHTING|Disturbance|disorderli conduct brawl fight
8119|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
8120|DISORDERLY CONDUCT BRAWLING/FIGHTING|Disturbance|disorderli conduct brawl fight
8121|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
8122|CRIMINAL TRESPASS|Trespass|crimin trespass
8123|FAILURE TO COMPLY WITH BOND RESTRICTIONS|Court Order|failur compli bond restrict
8124|UNLAWFUL POSSESSION OF METH|Meth|unlaw possess meth
8125|LARCENY B SHOPLIFT|Larceny|larceni b shoplift
8126|BATTERY OF LAW ENFORCEMENT OFFICER|Battery|batteri law enforc offic
8127|DISORDERLY CONDUCT OFFENSIVE LANGUAGE|Disturbance|disorderli conduct offens languag
8128|INTERFERE WITH LAW ENFORCEMENT OBSTRUCT, RESIST, ETC|Obstruction|interfer law enforc obstruct resist etc
8129|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
8130|LARCENY B SHOPLIFT|Larceny|larceni b shoplift
8131|POSSESSION OF MARIJUANA|Marijuana|possess marijuana
8132|ARSON AGGRAVATED|Arson|arson aggrav
8133|AGGRAVATED ASSAULT|Assault|aggrav assault
8134|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
8135|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
8136|FIGHTING/DOMESTIC VIOLENCE|Domestic Violence|fight domest violenc
8137|LAMPS, BRAKES, AND OTHER EQUIPMENT|Vehicle / Traffic Violation|lamp brake equip
8138|UNLAWFUL POSSESSION OF METH|Meth|unlaw possess meth
8139|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
8140|BATTERY PHYSICAL CONTACT/RUDE|Battery|batteri physic contact rude
8141|WILLFUL CRIMINAL DAMAGE TO PROPERTY|Property Damage|will crimin damag properti
8142|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
8143|OBSTRUCT LEGAL PROCESS|Obstruction|obstruct legal process
8144|AGGRAVATED BATTERY,|Battery|aggrav batteri
8145|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
8146|POSSESSION OF NARCOTICS|Narcotics / Other Drugs|possess narcot
8147|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
8148|UNLAWFUL POSSESSION OF MARIJUANA DEPRESSANT|Marijuana|unlaw possess marijuana depress
8149|CRIMINAL TRESPASS|Trespass|crimin trespass
8150|POSSESSION OR CONSUMPTION OF ALCOHOL WHILE UNDER 21 YRS OF AGE|Alcohol|possess consumpt alcohol yr age
8151|POSSESSION OF MARIJUANA|Marijuana|possess marijuana
8152|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
8153|DRIVING WHILE LICENSE CANCELLED/SUSPENDED/REVOKED|License|drive licens cancel suspend revok
8154|UNLAWFUL ACTS/ILLEGAL TAGS|Vehicle / Traffic Violation|unlaw act illeg tag
8155|NO PROOF OF INSURANCE|Insurance|proof insur
8156|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana|possess control marijuana hallucinogen
8157|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana|possess control marijuana hallucinogen
8158|DUI INCAPABLE OF SAFELY OPERATING|DUI|dui incap safe oper
8159|SPEED OVER LIMIT|Speed Limit|speed limit
8160|WINDSHIELD CRACKED|Vehicle / Traffic Violation|windshield crack
8161|SPEED 30 MPH|Speed Limit|speed mph
8162|NO DRIVER'S LICENSE|License|driver licens
8163|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
8164|INATTENTIVE DRIVING|Vehicle / Traffic Violation|inattent drive
8165|CRIMINAL TRESPASS|Trespass|crimin trespass
8166|BATTERY BODILY HARM|Battery|batteri bodili harm
8167|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
8168|AGGRAVATED BATTERY,|Battery|aggrav batteri
8169|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
8170|PETIT THEFT|Theft|petit theft
8171|PETIT THEFT|Theft|petit theft
8172|OBSTRUCT LEGAL PROCESS|Obstruction|obstruct legal process
8173|CRIMINAL POSSESSION OF FIREARM BY JUVENILE|Firearms|crimin possess firearm juvenil
8174|BATTERY PHYSICAL CONTACT/RUDE|Battery|batteri physic contact rude
8175|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
8176|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
8177|BATTERY|Battery|batteri
8178|POSSESSION OF MARIJUANA|Marijuana|possess marijuana
8179|POSSESSION OF PARAPHERNALIA|Drug Paraphernalia|possess paraphernalia
8180|VIOLATION OF PROTECTIVE ORDER|Court Order|violat protect order
8181|UNLAWFUL POSSESSION OF METH|Meth|unlaw possess meth
8182|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
8183|RUNAWAY|Runaway|runaway
8184|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
8185|ILLEGAL TAG|Vehicle / Traffic Violation|illeg tag
8186|TRANSPORT OPEN ALCOHOLIC BEVERAGES|Alcohol|transport open alcohol beverag
8187|NO PROOF OF INSURANCE|Insurance|proof insur
8188|UNLAWFUL POSSESSION OF METH|Meth|unlaw possess meth
8189|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
8190|UNLAWFUL ACTS/ILLEGAL TAGS|Vehicle / Traffic Violation|unlaw act illeg tag
8191|ILLEGAL LEFT TURN|Vehicle / Traffic Violation|illeg left turn
8192|CRIMINAL TRESPASS|Trespass|crimin trespass
8193|BURGLARY NON RESIDENCE|Burglary|burglari non resid
8194|LARCENY B FROM BUILDING|Larceny|larceni b build
8195|UNLAWFUL POSSESSION OF METH|Meth|unlaw possess meth
8196|BATTERY BODILY HARM|Battery|batteri bodili harm
8197|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
8198|UNSAFE LANE CHANGE|Vehicle / Traffic Violation|unsaf lane chang
8199|DUI|DUI|dui
8200|DUI INCAPABLE OF SAFELY OPERATING|DUI|dui incap safe oper
8201|CURFEW|Curfew|curfew
8202|BURGLARY NON RESIDENCE VEHICLE|Burglary|burglari non resid vehicl
8203|LARCENY B FROM AUTO|Larceny|larceni b auto
8204|BATTERY BODILY HARM|Battery|batteri bodili harm
8205|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
8206|CRIMINAL TRESPASS|Trespass|crimin trespass
8207|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
8208|AGGRAVATED ASSAULT LAW ENFORCEMENT OFFICER|Assault|aggrav assault law enforc offic
8209|BATTERY OF LAW ENFORCEMENT OFFICER|Battery|batteri law enforc offic
8210|RESIST/OBSTRUCT ARREST|Obstruction|resist obstruct arrest
8211|RUNAWAY|Runaway|runaway
8212|PETIT THEFT|Theft|petit theft
8213|PETIT THEFT|Theft|petit theft
8214|OTHER WEAPONS VIOLATIONS|Weapons|weapon violat
8215|FAILURE TO STOP FROM ALLEY, BUILDING, PRIVATE ROAD OR DRIVEWAY|Vehicle / Traffic Violation|failur stop alley build privat road driveway
8216|DRIVING WHILE LICENSE CANCELLED/SUSPENDED/REVOKED|License|drive licens cancel suspend revok
8217|POSSESSION OF MARIJUANA|Marijuana|possess marijuana
8218|POSSESSION OF FIREARM BY A FELON|Firearms|possess firearm felon
8219|AGGRAVATED BATTERY|Battery|aggrav batteri
8220|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana|possess control marijuana hallucinogen
8221|ROBBERY, RESIDENTIAL, AGGRAVATED|Robbery|robberi residenti aggrav
8222|CONSUME ALCOHOL/LIQUOR IN PUBLIC|Alcohol|consum alcohol liquor public
8223|CONSUME ALCOHOL/LIQUOR IN PUBLIC|Alcohol|consum alcohol liquor public
8224|DRIVE RIGHT SIDE/4 LANES|Vehicle / Traffic Violation|drive right side lane
8225|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
8226|ROBBERY FROM PERSON|Robbery|robberi person
8227|CRIMINAL TRESPASS|Trespass|crimin trespass
8228|RUNAWAY|Runaway|runaway
8229|BATTERY BODILY HARM|Battery|batteri bodili harm
8230|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
8231|BATTERY PHYSICAL CONTACT|Battery|batteri physic contact
8232|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
8233|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
8234|DISPLAY ALTERED TAG|Vehicle / Traffic Violation|display alter tag
8235|PETIT THEFT|Theft|petit theft
8236|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
8237|UNLAWFUL POSSESSION OF METH|Meth|unlaw possess meth
8238|POSSESSION OF FIREARM BY A FELON|Firearms|possess firearm felon
8239|LARCENY B SHOPLIFT|Larceny|larceni b shoplift
8240|CRIMINAL TRESPASS|Trespass|crimin trespass
8241|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
8242|TRANSPORT OPEN ALCOHOLIC BEVERAGES|Alcohol|transport open alcohol beverag
8243|DISORDERLY CONDUCT BRAWLING/FIGHTING|Disturbance|disorderli conduct brawl fight
8244|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
8245|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
8246|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
8247|NO PROOF OF INSURANCE|Insurance|proof insur
8248|DISPLAY ALTERED TAG|Vehicle / Traffic Violation|display alter tag
8249|SIGNAL TURN 100 FEET|Vehicle / Traffic Violation|signal turn feet
8250|ILLEGAL TAG|Vehicle / Traffic Violation|illeg tag
8251|DISORDERLY CONDUCT BRAWLING/FIGHTING|Disturbance|disorderli conduct brawl fight
8252|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
8253|DISORDERLY CONDUCT BRAWLING/FIGHTING|Disturbance|disorderli conduct brawl fight
8254|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
8255|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
8256|ILLEGAL TAG|Vehicle / Traffic Violation|illeg tag
8257|VIOLATION OF COURT ORDER/CASE PENDING|Court Order|violat court order case pend
8258|PETIT THEFT|Theft|petit theft
8259|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
8260|BATTERY BODILY HARM|Battery|batteri bodili harm
8261|WILLFUL CRIMINAL DAMAGE TO PROPERTY|Property Damage|will crimin damag properti
8262|PETIT THEFT|Theft|petit theft
8263|CRIMINAL TRESPASS|Trespass|crimin trespass
8264|PETIT THEFT|Theft|petit theft
8265|CRIMINAL DEPRIVATION OF A MOTOR VEHICLE|Theft|crimin depriv motor vehicl
8266|CRIMINAL DEPRIVATION OF A MOTOR VEHICLE|Theft|crimin depriv motor vehicl
8267|AGGRAVATED ASSAULT LAW ENFORCEMENT OFFICER|Assault|aggrav assault law enforc offic
8268|FLEE OR ATTEMPT TO ELUDE POLICE OFFICER|Elusion|flee attempt elud polic offic
8269|FAILURE TO SIGNAL TURN|Vehicle / Traffic Violation|failur signal turn
8270|FAILURE TO DRIVE RIGHT SIDE OF ROAD 4 LANES|Vehicle / Traffic Violation|failur drive right side road lane
8271|RECKLESS DRIVING|Vehicle / Traffic Violation|reckless drive
8272|FAILURE TO COMPLY WITH A LAWFUL ORDER|Court Order|failur compli law order
8273|POSSESSION OF FIREARM BY A FELON|Firearms|possess firearm felon
8274|UNLAWFUL POSSESSION OF METH|Meth|unlaw possess meth
8275|POSSESSION OF PARAPHERNALIA|Drug Paraphernalia|possess paraphernalia
8276|NO PROOF OF INSURANCE|Insurance|proof insur
8277|LIGHTS REQUIRED SUNSET TO SUNRISE|Vehicle / Traffic Violation|light requir sunset sunris
8278|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
8279|BATTERY BODILY HARM|Battery|batteri bodili harm
8280|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
8281|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
8282|NO PROOF OF INSURANCE|Insurance|proof insur
8283|ILLEGAL TAG|Vehicle / Traffic Violation|illeg tag
8284|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
8285|NO PROOF OF INSURANCE|Insurance|proof insur
8286|EMERGING FROM ALLEY, DRIVEWAY, BUILDING|Vehicle / Traffic Violation|emerg alley driveway build
8287|UNLAWFUL POSSESSION OF METH|Meth|unlaw possess meth
8288|PETIT THEFT|Theft|petit theft
8289|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana|possess control marijuana hallucinogen
8290|POSSESSION OF FIREARM BY A FELON|Firearms|possess firearm felon
8291|POSSESSION OF NARCOTICS|Narcotics / Other Drugs|possess narcot
8292|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
8293|AUTO THEFT NOT RECOVERED|Theft|auto theft recov
8294|AGGRAVATED ASSAULT LAW ENFORCEMENT OFFICER|Assault|aggrav assault law enforc offic
8295|AGGRAVATED BATTERY|Battery|aggrav batteri
8296|FLEE OR ATTEMPT TO ELUDE POLICE OFFICER|Elusion|flee attempt elud polic offic
8297|RESIST/OBSTRUCT ARREST|Obstruction|resist obstruct arrest
8298|DISTURBING THE PEACE|Disturbance|disturb peac
8299|BATTERY SCHOOL EMPLOYEE|Battery|batteri school employe
8300|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
8301|DRIVING WHILE LICENSE CANCELLED/SUSPENDED/REVOKED|License|drive licens cancel suspend revok
8302|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
8303|BATTERY|Battery|batteri
8304|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
8305|VIOLATION OF PROTECTIVE ORDER|Court Order|violat protect order
8306|VIOLATION OF PROTECTIVE ORDER|Court Order|violat protect order
8307|PETIT THEFT|Theft|petit theft
8308|CRIMINAL TRESPASS|Trespass|crimin trespass
8309|BATTERY|Battery|batteri
8310|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
8311|CONSUME ALCOHOL/LIQUOR IN PUBLIC|Alcohol|consum alcohol liquor public
8312|LARCENY B ALL OTHER|Larceny|larceni b
8313|UNLAWFUL POSSESSION OF METH|Meth|unlaw possess meth
8314|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
8315|AGGRAVATED WEAPONS VIOLATION|Weapons|aggrav weapon violat
8316|RESIST/OBSTRUCT ARREST|Obstruction|resist obstruct arrest
8317|PEDESTRIAN USE SIDEWALK|Vehicle / Traffic Violation|pedestrian use sidewalk
8318|RUNAWAY|Runaway|runaway
8319|CRIMINAL DEPRIVATION OF A MOTOR VEHICLE|Theft|crimin depriv motor vehicl
8320|RUNAWAY|Runaway|runaway
8321|BATTERY BODILY HARM|Battery|batteri bodili harm
8322|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
8323|WILLFUL CRIMINAL DAMAGE TO PROPERTY|Property Damage|will crimin damag properti
8324|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
8325|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
8326|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
8327|SIGNAL TURN 100 FEET|Vehicle / Traffic Violation|signal turn feet
8328|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
8329|INTIMIDATION|Intimidation|intimid
8330|SIMPLE ASSAULT LAW ENFORCEMENT OFFICER|Assault|simpl assault law enforc offic
8331|BATTERY BODILY HARM|Battery|batteri bodili harm
8332|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
8333|DUI|DUI|dui
8334|DUI INCAPABLE OF SAFELY OPERATING|DUI|dui incap safe oper
8335|SPEED OVER LIMIT|Speed Limit|speed limit
8336|DUI SECOND|DUI|dui second
8337|INTERFERE WITH PHONE SERVICE|Obstruction|interfer phone servic
8338|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
8339|RECEIVING STOLEN PROPERTY|Theft|receiv stolen properti
8340|REMAINING IN PARK AFTER HOURS|Trespass|remain park hour
8341|DUI INCAPABLE OF SAFELY OPERATING|DUI|dui incap safe oper
8342|DUI|DUI|dui
8343|DUI SECOND|DUI|dui second
8344|POSSESSION OF MARIJUANA|Marijuana|possess marijuana
8345|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
8346|LIGHTS REQUIRED CERTAIN HOURS|Vehicle / Traffic Violation|light requir certain hour
8347|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
8348|NO PROOF OF INSURANCE|Insurance|proof insur
8349|DUI INCAPABLE OF SAFELY OPERATING|DUI|dui incap safe oper
8350|AGGRAVATED WEAPONS VIOLATION|Weapons|aggrav weapon violat
8351|CRIMINAL TRESPASS|Trespass|crimin trespass
8352|BATTERY BODILY HARM|Battery|batteri bodili harm
8353|WILLFUL CRIMINAL DAMAGE TO PROPERTY|Property Damage|will crimin damag properti
8354|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
8355|NO DRIVER'S LICENSE|License|driver licens
8356|CARELESS DRIVING ENGINEER|Vehicle / Traffic Violation|careless drive engin
8357|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana|possess control marijuana hallucinogen
8358|CRIMINAL TRESPASS|Trespass|crimin trespass
8359|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
8360|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
8361|SIGNAL TURN 100 FEET|Vehicle / Traffic Violation|signal turn feet
8362|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
8363|DRIVING WHILE LICENSE CANCELLED/SUSPENDED/REVOKED|License|drive licens cancel suspend revok
8364|POSSESSION OF NARCOTICS|Narcotics / Other Drugs|possess narcot
8365|POSSESSION OF PARAPHERNALIA|Drug Paraphernalia|possess paraphernalia
8366|TAIL LAMPS|Vehicle / Traffic Violation|tail lamp
8367|WILLFUL CRIMINAL DAMAGE TO PROPERTY|Property Damage|will crimin damag properti
8368|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
8369|UNLAWFUL POSSESSION OF METH|Meth|unlaw possess meth
8370|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
8371|RESIST/OBSTRUCT ARREST|Obstruction|resist obstruct arrest
8372|FLEE OR ATTEMPT TO ELUDE POLICE OFFICER|Elusion|flee attempt elud polic offic
8373|SPEED 30 MPH|Speed Limit|speed mph
8374|TRAFFIC CONTROL SIGNALS|Vehicle / Traffic Violation|traffic control signal
8375|RECKLESS DRIVING|Vehicle / Traffic Violation|reckless drive
8376|FAILURE TO SIGNAL TURN|Vehicle / Traffic Violation|failur signal turn
8377|RUN STOP SIGN|Vehicle / Traffic Violation|run stop sign
8378|ILLEGAL RIGHT TURN|Vehicle / Traffic Violation|illeg right turn
8379|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
8380|DISOBEYING POLICE|Vehicle / Traffic Violation|disobey polic
8381|UNLAWFUL DISCHARGE OF A FIREARM|Firearms|unlaw discharg firearm
8382|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
8383|NO PROOF OF INSURANCE|Insurance|proof insur
8384|SIMPLE ASSAULT LAW ENFORCEMENT OFFICER|Assault|simpl assault law enforc offic
8385|DISORDERLY CONDUCT BRAWLING/FIGHTING|Disturbance|disorderli conduct brawl fight
8386|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
8387|FIGHTING/DOMESTIC VIOLENCE|Domestic Violence|fight domest violenc
8388|POSSESSION OF MARIJUANA|Marijuana|possess marijuana
8389|AGGRAVATED ASSAULT LAW ENFORCEMENT OFFICER|Assault|aggrav assault law enforc offic
8390|AGGRAVATED ASSAULT|Assault|aggrav assault
8391|BATTERY OF LAW ENFORCEMENT OFFICER|Battery|batteri law enforc offic
8392|RESIST/OBSTRUCT ARREST|Obstruction|resist obstruct arrest
8393|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
8394|AGGRAVATED INDECENT SOLICITATION OF A CHILD|Child Exploitation|aggrav indec solicit child
8395|AGGRAVATED ASSAULT|Assault|aggrav assault
8396|BATTERY|Battery|batteri
8397|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
8398|RUNAWAY|Runaway|runaway
8399|WILLFUL CRIMINAL DAMAGE TO PROPERTY|Property Damage|will crimin damag properti
8400|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
8401|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana|possess control marijuana hallucinogen
8402|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
8403|SPEED OVER LIMIT|Speed Limit|speed limit
8404|LEND TAG TO ANOTHER|Vehicle / Traffic Violation|lend tag anoth
8405|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
8406|UNLAWFUL POSSESSION OF METH|Meth|unlaw possess meth
8407|UNLAWFUL POSSESSION OF NON NARCOTICS|Narcotics / Other Drugs|unlaw possess non narcot
8408|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
8409|PERMIT USE OF UNINSURED VEHICLE|Insurance|permit use uninsur vehicl
8410|DISORDERLY CONDUCT BRAWLING/FIGHTING|Disturbance|disorderli conduct brawl fight
8411|LOITERING|Trespass|loiter
8412|TRANSPORT OPEN ALCOHOLIC BEVERAGES|Alcohol|transport open alcohol beverag
8413|TRANSPORT OPEN ALCOHOLIC BEVERAGES|Alcohol|transport open alcohol beverag
8414|RUNAWAY|Runaway|runaway
8415|PETIT THEFT|Theft|petit theft
8416|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
8417|DISORDERLY CONDUCT BRAWLING/FIGHTING|Disturbance|disorderli conduct brawl fight
8418|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
8419|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
8420|PETIT THEFT|Theft|petit theft
8421|PETIT THEFT|Theft|petit theft
8422|TRANSPORT OPEN ALCOHOLIC BEVERAGES|Alcohol|transport open alcohol beverag
8423|NO DRIVER'S LICENSE|License|driver licens
8424|ILLEGAL TAG|Vehicle / Traffic Violation|illeg tag
8425|UNSAFE LANE CHANGE|Vehicle / Traffic Violation|unsaf lane chang
8426|AGGRAVATED WEAPONS VIOLATION|Weapons|aggrav weapon violat
8427|UNLAWFUL ACTS/ILLEGAL TAGS|Vehicle / Traffic Violation|unlaw act illeg tag
8428|DRIVING WHILE LICENSE CANCELLED/SUSPENDED/REVOKED|License|drive licens cancel suspend revok
8429|RUNAWAY|Runaway|runaway
8430|POSSESSION OF ILLEGAL WEAPONS|Weapons|possess illeg weapon
8431|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
8432|DRIVING WHILE LICENSE CANCELLED/SUSPENDED/REVOKED|License|drive licens cancel suspend revok
8433|POSSESSION OF NARCOTICS|Narcotics / Other Drugs|possess narcot
8434|UNLAWFUL POSSESSION OF NON NARCOTICS|Narcotics / Other Drugs|unlaw possess non narcot
8435|FAILURE TO STOP FROM ALLEY, BUILDING, PRIVATE ROAD OR DRIVEWAY|Vehicle / Traffic Violation|failur stop alley build privat road driveway
8436|UNLAWFUL POSSESSION OF METH|Meth|unlaw possess meth
8437|POSSESSION OF PARAPHERNALIA|Drug Paraphernalia|possess paraphernalia
8438|DISORDERLY CONDUCT BRAWLING/FIGHTING|Disturbance|disorderli conduct brawl fight
8439|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
8440|AGGRAVATED ASSAULT FIREARMS|Firearms|aggrav assault firearm
8441|UNLAWFUL ACTS/ILLEGAL TAGS|Vehicle / Traffic Violation|unlaw act illeg tag
8442|FAILURE TO SIGNAL TURN|Vehicle / Traffic Violation|failur signal turn
8443|UNLAWFUL POSSESSION OF METH|Meth|unlaw possess meth
8444|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
